,delves,crucial,potential,these,significant,important,pandemic,ebola,convolutional
2010,0.000014,0.016559,0.115363,0.356381,0.170088,0.119832,0.002621,0.000115,0.000019
2011,0.000019,0.017199,0.119109,0.353738,0.171803,0.121747,0.002869,0.000163,0.000007
2012,0.000016,0.017645,0.123283,0.351403,0.176177,0.123324,0.002220,0.000136,0.000011
2013,0.000006,0.018512,0.128186,0.349304,0.180404,0.124893,0.001806,0.000107,0.000019
2014,0.000021,0.019257,0.132930,0.344400,0.182210,0.126217,0.001526,0.000322,0.000028
2015,0.000020,0.020057,0.137393,0.341330,0.183411,0.125733,0.001279,0.001062,0.000074
2016,0.000021,0.020950,0.141976,0.339079,0.182669,0.125524,0.001092,0.000987,0.000195
2017,0.000017,0.022131,0.149274,0.338596,0.183327,0.125913,0.001051,0.000868,0.000634
2018,0.000028,0.022875,0.154388,0.334749,0.183482,0.125102,0.000962,0.000674,0.001464
2019,0.000039,0.024257,0.158958,0.329728,0.183687,0.125173,0.000880,0.000581,0.002446
2020,0.000043,0.026119,0.164027,0.324281,0.184384,0.123009,0.020024,0.000635,0.003232
2021,0.000049,0.027687,0.167372,0.319552,0.189387,0.122571,0.037406,0.000558,0.004139
2022,0.000075,0.029624,0.169388,0.308885,0.194550,0.123075,0.038294,0.000398,0.005172
2023,0.000746,0.040191,0.185275,0.318071,0.205981,0.116477,0.029592,0.000340,0.005155
2024,0.003573,0.070602,0.225259,0.350596,0.251300,0.098844,0.018684,0.000292,0.005157
